Date,Operating System Types,Visits
5-Mar-16,Apple Macintosh,1134
5-Mar-16,Microsoft Windows Phone/Mobile,81
5-Mar-16,Nokia,32
5-Mar-16,Other,24
5-Mar-16,Chrome OS,18
5-Mar-16,Blackberry,12
6-Mar-16,Microsoft Windows,8600
6-Mar-16,GNU/Linux,3144
6-Mar-16,Google Android,1566
6-Mar-16,Apple Macintosh,1337
6-Mar-16,Apple iOS,1201
6-Mar-16,Nokia,61
6-Mar-16,Microsoft Windows Phone/Mobile,61
6-Mar-16,Other,27
6-Mar-16,Chrome OS,18
6-Mar-16,Blackberry,16
7-Mar-16,Microsoft Windows,19538
7-Mar-16,GNU/Linux,8739
7-Mar-16,Apple Macintosh,3188
7-Mar-16,Google Android,1529
7-Mar-16,Apple iOS,1364
7-Mar-16,Microsoft Windows Phone/Mobile,76
7-Mar-16,Nokia,39
7-Mar-16,Chrome OS,34
7-Mar-16,Other,23
7-Mar-16,Blackberry,18
8-Mar-16,Microsoft Windows,20703
8-Mar-16,GNU/Linux,8856
8-Mar-16,Apple Macintosh,3290
8-Mar-16,Google Android,1998
8-Mar-16,Apple iOS,1782
8-Mar-16,Microsoft Windows Phone/Mobile,82
8-Mar-16,Chrome OS,31
8-Mar-16,Blackberry,23
8-Mar-16,Nokia,21
8-Mar-16,Other,20
9-Mar-16,Microsoft Windows,20048
9-Mar-16,GNU/Linux,10309
9-Mar-16,Apple Macintosh,3243
9-Mar-16,Google Android,1748
9-Mar-16,Apple iOS,1684
9-Mar-16,Microsoft Windows Phone/Mobile,61
9-Mar-16,Chrome OS,32
9-Mar-16,Other,19
9-Mar-16,Nokia,14
9-Mar-16,Blackberry,13
10-Mar-16,Microsoft Windows,19585
10-Mar-16,GNU/Linux,10548
10-Mar-16,Apple Macintosh,2999
10-Mar-16,Apple iOS,1610
10-Mar-16,Google Android,1601
10-Mar-16,Microsoft Windows Phone/Mobile,36
10-Mar-16,Chrome OS,31
10-Mar-16,Nokia,29
10-Mar-16,Other,24
10-Mar-16,Blackberry,17
11-Mar-16,Microsoft Windows,15618
11-Mar-16,GNU/Linux,8034
11-Mar-16,Apple Macintosh,2873
11-Mar-16,Google Android,1531
11-Mar-16,Apple iOS,1358
11-Mar-16,Microsoft Windows Phone/Mobile,43
11-Mar-16,Chrome OS,27
11-Mar-16,Nokia,23
11-Mar-16,Other,20
11-Mar-16,Blackberry,19
12-Mar-16,Microsoft Windows,6751
12-Mar-16,GNU/Linux,2991
12-Mar-16,Google Android,1444
12-Mar-16,Apple iOS,1228
12-Mar-16,Apple Macintosh,1227
12-Mar-16,Microsoft Windows Phone/Mobile,42
12-Mar-16,Nokia,31
12-Mar-16,Chrome OS,29
12-Mar-16,Other,15
12-Mar-16,Blackberry,9
13-Mar-16,Microsoft Windows,7971
13-Mar-16,GNU/Linux,3160
13-Mar-16,Google Android,1553
13-Mar-16,Apple Macintosh,1432
13-Mar-16,Apple iOS,1268
13-Mar-16,Microsoft Windows Phone/Mobile,60
13-Mar-16,Chrome OS,33
13-Mar-16,Nokia,18
13-Mar-16,Other,16
13-Mar-16,Blackberry,13
14-Mar-16,Microsoft Windows,19553
14-Mar-16,GNU/Linux,10301
14-Mar-16,Apple Macintosh,3086
14-Mar-16,Google Android,1798
14-Mar-16,Apple iOS,1497
14-Mar-16,Microsoft Windows Phone/Mobile,43
14-Mar-16,Chrome OS,40
14-Mar-16,Blackberry,19
14-Mar-16,Nokia,17
14-Mar-16,Other,11
15-Mar-16,Microsoft Windows,20559
15-Mar-16,GNU/Linux,10018
15-Mar-16,Apple Macintosh,3207
15-Mar-16,Google Android,1833
15-Mar-16,Apple iOS,1660
15-Mar-16,Microsoft Windows Phone/Mobile,44
15-Mar-16,Nokia,34
15-Mar-16,Chrome OS,34
15-Mar-16,Blackberry,22
15-Mar-16,Other,12
16-Mar-16,Microsoft Windows,20154
16-Mar-16,GNU/Linux,9324
16-Mar-16,Apple Macintosh,3134
16-Mar-16,Google Android,2026
16-Mar-16,Apple iOS,1592
16-Mar-16,Microsoft Windows Phone/Mobile,55
16-Mar-16,Nokia,35
16-Mar-16,Chrome OS,30
16-Mar-16,Blackberry,18
16-Mar-16,Other,15
17-Mar-16,Microsoft Windows,18629
17-Mar-16,GNU/Linux,8332
17-Mar-16,Apple Macintosh,2686
17-Mar-16,Google Android,1642
17-Mar-16,Apple iOS,1406
17-Mar-16,Microsoft Windows Phone/Mobile,50
17-Mar-16,Chrome OS,30
17-Mar-16,Nokia,27
17-Mar-16,Other,15
17-Mar-16,UNIX,14
18-Mar-16,Microsoft Windows,15730
18-Mar-16,GNU/Linux,7006
18-Mar-16,Apple Macintosh,2422
18-Mar-16,Google Android,1743
18-Mar-16,Apple iOS,1652
18-Mar-16,Microsoft Windows Phone/Mobile,56
18-Mar-16,Nokia,24
18-Mar-16,Chrome OS,23
18-Mar-16,Blackberry,12
18-Mar-16,Other,11
19-Mar-16,Microsoft Windows,6567
19-Mar-16,GNU/Linux,2822
19-Mar-16,Google Android,1560
19-Mar-16,Apple iOS,1538
19-Mar-16,Apple Macintosh,1247
19-Mar-16,Microsoft Windows Phone/Mobile,39
19-Mar-16,Chrome OS,25
19-Mar-16,Nokia,21
19-Mar-16,Blackberry,13
19-Mar-16,Other,10
20-Mar-16,Microsoft Windows,7309
20-Mar-16,GNU/Linux,3136
20-Mar-16,Google Android,1507
20-Mar-16,Apple Macintosh,1409
20-Mar-16,Apple iOS,1359
20-Mar-16,Microsoft Windows Phone/Mobile,44
20-Mar-16,Nokia,28
20-Mar-16,Chrome OS,22
20-Mar-16,Blackberry,14
20-Mar-16,Other,14
21-Mar-16,Microsoft Windows,18115
21-Mar-16,GNU/Linux,9252
21-Mar-16,Apple Macintosh,2991
21-Mar-16,Google Android,1665
21-Mar-16,Apple iOS,1466
21-Mar-16,Microsoft Windows Phone/Mobile,58
21-Mar-16,Chrome OS,35
21-Mar-16,Blackberry,21
21-Mar-16,Nokia,19
21-Mar-16,Other,8
22-Mar-16,Microsoft Windows,19820
22-Mar-16,GNU/Linux,9310
22-Mar-16,Apple Macintosh,3402
22-Mar-16,Apple iOS,1864
22-Mar-16,Google Android,1841
22-Mar-16,Microsoft Windows Phone/Mobile,60
22-Mar-16,Chrome OS,42
22-Mar-16,Nokia,24
22-Mar-16,Blackberry,17
22-Mar-16,Other,10
23-Mar-16,Microsoft Windows,21024
23-Mar-16,GNU/Linux,9188
23-Mar-16,Apple Macintosh,4159
23-Mar-16,Apple iOS,3243
23-Mar-16,Google Android,2890
23-Mar-16,Chrome OS,68
