Download Link,URL,Download Link Instances
https://connect.redhat.com/system/files/RHC4TP_BrandStandards_Jan_2015_Final.PDF,connect.redhat.com/resources/technology-partners-brand-standards,2
https://connect.redhat.com/system/files/RH_TechnologyPartnerStandards_Jan_2015_Final.PDF,connect.redhat.com/resources/logo-usage-guidelines,2
https://connect.redhat.com/system/files/OpenStack%20FAQ%20Partner%202013-Aug-21.pdf,connect.redhat.com/resources/openstack-partner-faq-nda,1
https://rhc4tp-cms-prod-vpc-76857813.s3.amazonaws.com/s3fs-public/PA_Technology_Partner_Program_20150501_0.pdf,connect.redhat.com/partners/innfinision/dashboard,1
https://rhc4tp-cms-prod-vpc-76857813.s3.amazonaws.com/s3fs-public/Red_Hat_Enterprise_Linux_OpenStack_Platform-8-Partner_Integration-en-US.pdf,connect.redhat.com/resources/red-hat-enterprise-linux-openstack-platform-8-partner-integration,1
https://connect.redhat.com/system/files/ucs_rhos.pdf,connect.redhat.com/resources/red-hat-enterprise-linux-openstack-architecture-cisco-ucs-platform,1
https://connect.redhat.com/system/files/RedHatAAG_20141102_v2.0.1.pdf,connect.redhat.com/resources/plumgrid-openstack-solution,1
https://rhc4tp-cms-prod-vpc-76857813.s3.amazonaws.com/s3fs-public/RH_technology%20partner_logos_2014-12.zip,connect.redhat.com/resources/red-hat-technology-partner-logo,1
