Date,OS,Visits
6-May-16,Microsoft Windows,119997
6-May-16,GNU/Linux,32951
6-May-16,Apple Macintosh,22127
6-May-16,Google Android,11489
6-May-16,Apple iOS,6607
6-May-16,Other,5212
6-May-16,Chrome OS,188
6-May-16,Microsoft Windows Phone/Mobile,152
6-May-16,UNIX,87
6-May-16,Nokia,75
7-May-16,Microsoft Windows,41078
7-May-16,GNU/Linux,14155
7-May-16,Google Android,10638
7-May-16,Apple Macintosh,8846
7-May-16,Apple iOS,6117
7-May-16,Other,5107
7-May-16,Microsoft Windows Phone/Mobile,174
7-May-16,Chrome OS,112
7-May-16,Nokia,71
7-May-16,Blackberry,63
8-May-16,Microsoft Windows,51248
8-May-16,GNU/Linux,14876
8-May-16,Google Android,10365
8-May-16,Apple Macintosh,10170
8-May-16,Other,5485
8-May-16,Apple iOS,4919
8-May-16,Chrome OS,155
8-May-16,Microsoft Windows Phone/Mobile,115
8-May-16,Nokia,71
8-May-16,Blackberry,46
9-May-16,Microsoft Windows,161586
9-May-16,GNU/Linux,40068
9-May-16,Apple Macintosh,27342
9-May-16,Google Android,13588
9-May-16,Apple iOS,6807
9-May-16,Other,5134
9-May-16,Chrome OS,228
9-May-16,Microsoft Windows Phone/Mobile,207
9-May-16,Nokia,92
9-May-16,Blackberry,76
10-May-16,Microsoft Windows,171479
10-May-16,GNU/Linux,43219
10-May-16,Apple Macintosh,28535
10-May-16,Google Android,14192
10-May-16,Apple iOS,7558
10-May-16,Other,3659
10-May-16,Microsoft Windows Phone/Mobile,252
10-May-16,Chrome OS,216
10-May-16,UNIX,124
10-May-16,Blackberry,79
11-May-16,Microsoft Windows,169001
11-May-16,GNU/Linux,43296
11-May-16,Apple Macintosh,28811
11-May-16,Google Android,13399
11-May-16,Apple iOS,10053
11-May-16,Other,3507
11-May-16,Microsoft Windows Phone/Mobile,288
11-May-16,Chrome OS,200
11-May-16,UNIX,112
11-May-16,Nokia,104
12-May-16,Microsoft Windows,163661
12-May-16,GNU/Linux,42015
12-May-16,Apple Macintosh,27386
12-May-16,Google Android,14810
12-May-16,Apple iOS,9501
12-May-16,Other,3434
12-May-16,Chrome OS,269
12-May-16,Microsoft Windows Phone/Mobile,248
12-May-16,UNIX,105
12-May-16,Nokia,102
13-May-16,Microsoft Windows,132285
13-May-16,GNU/Linux,35839
13-May-16,Apple Macintosh,22863
13-May-16,Google Android,12217
13-May-16,Apple iOS,6925
13-May-16,Other,2531
13-May-16,Chrome OS,215
13-May-16,Microsoft Windows Phone/Mobile,210
13-May-16,UNIX,94
13-May-16,Nokia,86
14-May-16,Microsoft Windows,43134
14-May-16,GNU/Linux,14777
14-May-16,Apple Macintosh,9419
14-May-16,Google Android,9088
14-May-16,Apple iOS,5716
14-May-16,Other,2388
14-May-16,Microsoft Windows Phone/Mobile,195
14-May-16,Chrome OS,163
14-May-16,Nokia,89
14-May-16,Blackberry,54
15-May-16,Microsoft Windows,54212
15-May-16,GNU/Linux,15649
15-May-16,Apple Macintosh,10838
15-May-16,Google Android,8981
15-May-16,Apple iOS,5621
15-May-16,Other,3875
15-May-16,Microsoft Windows Phone/Mobile,195
15-May-16,Chrome OS,164
15-May-16,Nokia,80
15-May-16,Blackberry,52
16-May-16,Microsoft Windows,142085
16-May-16,GNU/Linux,36213
16-May-16,Apple Macintosh,25748
16-May-16,Google Android,10175
16-May-16,Apple iOS,6763
16-May-16,Other,2253
16-May-16,Microsoft Windows Phone/Mobile,219
16-May-16,Chrome OS,201
16-May-16,Blackberry,81
16-May-16,Nokia,77
17-May-16,Microsoft Windows,162502
17-May-16,GNU/Linux,41156
17-May-16,Apple Macintosh,27758
17-May-16,Google Android,10900
17-May-16,Apple iOS,7582
17-May-16,Other,2257
17-May-16,Microsoft Windows Phone/Mobile,261
17-May-16,Chrome OS,212
17-May-16,UNIX,89
17-May-16,Blackberry,72
18-May-16,Microsoft Windows,161625
18-May-16,GNU/Linux,40972
18-May-16,Apple Macintosh,27318
18-May-16,Google Android,10478
18-May-16,Apple iOS,7611
18-May-16,Other,2266
18-May-16,Microsoft Windows Phone/Mobile,285
18-May-16,Chrome OS,233
18-May-16,UNIX,110
18-May-16,Nokia,81
