Date,Browser Type,Visits
8-Mar-16,Apple,4614
8-Mar-16,Other,303
8-Mar-16,Opera,188
8-Mar-16,UC Web,61
8-Mar-16,Yandex,26
8-Mar-16,BlackBerry,15
8-Mar-16,Amazon,6
9-Mar-16,Google,65792
9-Mar-16,Mozilla,42187
9-Mar-16,Microsoft,16474
9-Mar-16,Apple,4694
9-Mar-16,Other,351
9-Mar-16,Opera,211
9-Mar-16,UC Web,50
9-Mar-16,Yandex,41
9-Mar-16,BlackBerry,22
9-Mar-16,Amazon,7
10-Mar-16,Google,64688
10-Mar-16,Mozilla,41308
10-Mar-16,Microsoft,16240
10-Mar-16,Apple,4685
10-Mar-16,Other,303
10-Mar-16,Opera,206
10-Mar-16,Yandex,53
10-Mar-16,UC Web,47
10-Mar-16,BlackBerry,11
10-Mar-16,Amazon,8
11-Mar-16,Google,50800
11-Mar-16,Mozilla,32957
11-Mar-16,Microsoft,11275
11-Mar-16,Apple,3778
11-Mar-16,Other,253
11-Mar-16,Opera,176
11-Mar-16,Yandex,54
11-Mar-16,UC Web,43
11-Mar-16,BlackBerry,17
11-Mar-16,Amazon,7
12-Mar-16,Google,15924
12-Mar-16,Mozilla,9565
12-Mar-16,Microsoft,2089
12-Mar-16,Apple,1838
12-Mar-16,Other,142
12-Mar-16,Opera,122
12-Mar-16,UC Web,44
12-Mar-16,Yandex,25
12-Mar-16,BlackBerry,9
12-Mar-16,Amazon,8
13-Mar-16,Google,19143
13-Mar-16,Mozilla,11158
13-Mar-16,Microsoft,3984
13-Mar-16,Apple,2034
13-Mar-16,Other,171
13-Mar-16,Opera,139
13-Mar-16,UC Web,69
13-Mar-16,Yandex,25
13-Mar-16,BlackBerry,9
13-Mar-16,Amazon,7
14-Mar-16,Google,63399
14-Mar-16,Mozilla,39708
14-Mar-16,Microsoft,15380
14-Mar-16,Apple,4285
14-Mar-16,Other,293
14-Mar-16,Opera,201
14-Mar-16,UC Web,64
14-Mar-16,Yandex,53
14-Mar-16,BlackBerry,19
14-Mar-16,Amazon,7
15-Mar-16,Google,64828
15-Mar-16,Mozilla,41874
15-Mar-16,Microsoft,15642
15-Mar-16,Apple,4585
15-Mar-16,Other,305
15-Mar-16,Opera,183
15-Mar-16,UC Web,62
15-Mar-16,Yandex,50
15-Mar-16,Amazon,15
15-Mar-16,BlackBerry,12
16-Mar-16,Google,65499
16-Mar-16,Mozilla,41953
16-Mar-16,Microsoft,15509
16-Mar-16,Apple,4630
16-Mar-16,Other,334
16-Mar-16,Opera,199
16-Mar-16,UC Web,66
16-Mar-16,Yandex,56
16-Mar-16,BlackBerry,16
16-Mar-16,Amazon,4
17-Mar-16,Google,63031
17-Mar-16,Mozilla,40111
17-Mar-16,Microsoft,14728
17-Mar-16,Apple,4457
17-Mar-16,Other,343
17-Mar-16,Opera,224
17-Mar-16,UC Web,74
17-Mar-16,Yandex,50
17-Mar-16,BlackBerry,21
17-Mar-16,Amazon,7
18-Mar-16,Google,51045
18-Mar-16,Mozilla,32617
18-Mar-16,Microsoft,10830
18-Mar-16,Apple,3689
18-Mar-16,Other,262
18-Mar-16,Opera,176
18-Mar-16,UC Web,59
18-Mar-16,Yandex,34
18-Mar-16,BlackBerry,19
18-Mar-16,Amazon,12
19-Mar-16,Google,16272
19-Mar-16,Mozilla,9611
19-Mar-16,Microsoft,2027
19-Mar-16,Apple,1834
19-Mar-16,Other,167
19-Mar-16,Opera,153
19-Mar-16,UC Web,49
19-Mar-16,Yandex,23
19-Mar-16,BlackBerry,10
19-Mar-16,Amazon,4
20-Mar-16,Google,18681
20-Mar-16,Mozilla,10310
20-Mar-16,Microsoft,2641
20-Mar-16,Apple,2031
20-Mar-16,Other,176
20-Mar-16,Opera,140
20-Mar-16,UC Web,48
20-Mar-16,Yandex,34
20-Mar-16,Amazon,7
20-Mar-16,BlackBerry,2
21-Mar-16,Google,59113
21-Mar-16,Mozilla,37563
21-Mar-16,Microsoft,11875
21-Mar-16,Apple,4199
21-Mar-16,Other,344
21-Mar-16,Opera,181
21-Mar-16,Yandex,72
21-Mar-16,UC Web,60
21-Mar-16,BlackBerry,15
21-Mar-16,Amazon,5
22-Mar-16,Google,64843
22-Mar-16,Mozilla,40440
22-Mar-16,Microsoft,15189
22-Mar-16,Apple,4653
22-Mar-16,Other,349
22-Mar-16,Opera,195
22-Mar-16,Yandex,61
22-Mar-16,UC Web,54
22-Mar-16,BlackBerry,22
22-Mar-16,Amazon,5
23-Mar-16,Google,61882
23-Mar-16,Mozilla,38856
23-Mar-16,Microsoft,14521
23-Mar-16,Apple,4699
23-Mar-16,Other,354
23-Mar-16,Opera,205
