Date,Device,Visits
18-Apr-16,Mobile,3541
18-Apr-16,Tablet,577
19-Apr-16,Desktop,128401
19-Apr-16,Mobile,3688
19-Apr-16,Tablet,614
20-Apr-16,Desktop,125390
20-Apr-16,Mobile,3716
20-Apr-16,Tablet,578
21-Apr-16,Desktop,123660
21-Apr-16,Mobile,4017
21-Apr-16,Tablet,655
22-Apr-16,Desktop,103262
22-Apr-16,Mobile,3295
22-Apr-16,Tablet,534
23-Apr-16,Desktop,29397
23-Apr-16,Mobile,1949
23-Apr-16,Tablet,538
24-Apr-16,Desktop,37662
24-Apr-16,Mobile,2044
24-Apr-16,Tablet,551
25-Apr-16,Desktop,124375
25-Apr-16,Mobile,3300
25-Apr-16,Tablet,554
26-Apr-16,Desktop,131931
26-Apr-16,Mobile,3685
26-Apr-16,Tablet,578
27-Apr-16,Desktop,129720
27-Apr-16,Mobile,3667
27-Apr-16,Tablet,577
28-Apr-16,Desktop,123298
28-Apr-16,Mobile,3582
28-Apr-16,Tablet,601
29-Apr-16,Desktop,124430
29-Apr-16,Mobile,2815
29-Apr-16,Tablet,517
30-Apr-16,Desktop,65834
30-Apr-16,Mobile,1865
30-Apr-16,Tablet,487
1-May-16,Desktop,68587
1-May-16,Mobile,1783
1-May-16,Tablet,551
2-May-16,Desktop,139290
2-May-16,Mobile,2732
2-May-16,Tablet,525
3-May-16,Desktop,152179
3-May-16,Mobile,3229
3-May-16,Tablet,600
4-May-16,Desktop,141586
4-May-16,Mobile,3471
4-May-16,Tablet,574
5-May-16,Desktop,112307
5-May-16,Mobile,2986
5-May-16,Tablet,577
6-May-16,Desktop,103059
6-May-16,Mobile,2779
6-May-16,Tablet,521
7-May-16,Desktop,35979
7-May-16,Mobile,1967
7-May-16,Tablet,547
8-May-16,Desktop,44437
8-May-16,Mobile,2000
8-May-16,Tablet,495
9-May-16,Desktop,135125
9-May-16,Mobile,3558
9-May-16,Tablet,555
10-May-16,Desktop,141921
10-May-16,Mobile,4010
10-May-16,Tablet,603
11-May-16,Desktop,136847
11-May-16,Mobile,4179
11-May-16,Tablet,655
12-May-16,Desktop,128680
12-May-16,Mobile,4930
12-May-16,Tablet,801
13-May-16,Desktop,102981
13-May-16,Mobile,3772
13-May-16,Tablet,670
14-May-16,Desktop,29386
14-May-16,Mobile,2142
14-May-16,Tablet,535
15-May-16,Desktop,37539
15-May-16,Mobile,2085
15-May-16,Tablet,486
16-May-16,Desktop,109796
16-May-16,Mobile,3493
16-May-16,Tablet,575
17-May-16,Desktop,124481
17-May-16,Mobile,4000
17-May-16,Tablet,552
18-May-16,Desktop,124636
18-May-16,Mobile,3692
18-May-16,Tablet,543
