Date,Device,Visits
20-Apr-16,Desktop,1310
20-Apr-16,Mobile,29
20-Apr-16,Tablet,5
21-Apr-16,Desktop,1310
21-Apr-16,Mobile,28
21-Apr-16,Tablet,6
22-Apr-16,Desktop,1045
22-Apr-16,Mobile,26
22-Apr-16,Tablet,6
23-Apr-16,Desktop,154
23-Apr-16,Mobile,9
23-Apr-16,Tablet,3
24-Apr-16,Desktop,286
24-Apr-16,Mobile,12
24-Apr-16,Tablet,4
25-Apr-16,Desktop,1366
25-Apr-16,Mobile,23
25-Apr-16,Tablet,7
26-Apr-16,Desktop,1349
26-Apr-16,Mobile,23
26-Apr-16,Tablet,6
27-Apr-16,Desktop,1366
27-Apr-16,Mobile,16
27-Apr-16,Tablet,11
28-Apr-16,Desktop,1490
28-Apr-16,Mobile,25
28-Apr-16,Tablet,4
29-Apr-16,Desktop,1042
29-Apr-16,Mobile,11
29-Apr-16,Tablet,4
30-Apr-16,Desktop,177
30-Apr-16,Mobile,9
30-Apr-16,Tablet,7
1-May-16,Desktop,245
1-May-16,Mobile,14
1-May-16,Tablet,8
2-May-16,Desktop,1331
2-May-16,Mobile,27
2-May-16,Tablet,5
3-May-16,Desktop,1363
3-May-16,Mobile,26
3-May-16,Tablet,7
4-May-16,Desktop,1307
4-May-16,Mobile,24
4-May-16,Tablet,8
5-May-16,Desktop,1181
5-May-16,Mobile,15
5-May-16,Tablet,5
6-May-16,Desktop,1112
6-May-16,Mobile,13
6-May-16,Tablet,6
7-May-16,Desktop,250
7-May-16,Mobile,12
7-May-16,Tablet,1
8-May-16,Desktop,365
8-May-16,Mobile,8
8-May-16,Tablet,3
9-May-16,Desktop,1416
9-May-16,Mobile,12
9-May-16,Tablet,1
10-May-16,Desktop,1494
10-May-16,Mobile,22
10-May-16,Tablet,7
11-May-16,Desktop,1414
11-May-16,Mobile,16
11-May-16,Tablet,7
12-May-16,Desktop,1431
12-May-16,Mobile,17
12-May-16,Tablet,10
13-May-16,Desktop,1167
13-May-16,Mobile,17
13-May-16,Tablet,3
14-May-16,Desktop,223
14-May-16,Mobile,12
14-May-16,Tablet,8
15-May-16,Desktop,364
15-May-16,Mobile,9
15-May-16,Tablet,3
16-May-16,Desktop,1335
16-May-16,Mobile,17
16-May-16,Tablet,8
17-May-16,Desktop,1584
17-May-16,Mobile,27
17-May-16,Tablet,7
18-May-16,Desktop,1466
18-May-16,Mobile,21
18-May-16,Tablet,10
