Date,Device,Visits
19-Apr-16,Mobile,1199
19-Apr-16,Tablet,259
20-Apr-16,Desktop,39662
20-Apr-16,Mobile,1042
20-Apr-16,Tablet,264
21-Apr-16,Desktop,37380
21-Apr-16,Mobile,966
21-Apr-16,Tablet,255
22-Apr-16,Desktop,32045
22-Apr-16,Mobile,814
22-Apr-16,Tablet,211
23-Apr-16,Desktop,8818
23-Apr-16,Mobile,606
23-Apr-16,Tablet,207
24-Apr-16,Desktop,9717
24-Apr-16,Mobile,496
24-Apr-16,Tablet,219
25-Apr-16,Desktop,38015
25-Apr-16,Mobile,972
25-Apr-16,Tablet,182
26-Apr-16,Desktop,39843
26-Apr-16,Mobile,956
26-Apr-16,Tablet,217
27-Apr-16,Desktop,38325
27-Apr-16,Mobile,971
27-Apr-16,Tablet,213
28-Apr-16,Desktop,37793
28-Apr-16,Mobile,934
28-Apr-16,Tablet,218
29-Apr-16,Desktop,30495
29-Apr-16,Mobile,744
29-Apr-16,Tablet,192
30-Apr-16,Desktop,7848
30-Apr-16,Mobile,549
30-Apr-16,Tablet,182
1-May-16,Desktop,8225
1-May-16,Mobile,472
1-May-16,Tablet,153
2-May-16,Desktop,31646
2-May-16,Mobile,760
2-May-16,Tablet,174
3-May-16,Desktop,36209
3-May-16,Mobile,901
3-May-16,Tablet,213
4-May-16,Desktop,36836
4-May-16,Mobile,892
4-May-16,Tablet,193
5-May-16,Desktop,31500
5-May-16,Mobile,808
5-May-16,Tablet,169
6-May-16,Desktop,29137
6-May-16,Mobile,780
6-May-16,Tablet,213
7-May-16,Desktop,8087
7-May-16,Mobile,565
7-May-16,Tablet,181
8-May-16,Desktop,8993
8-May-16,Mobile,533
8-May-16,Tablet,154
9-May-16,Desktop,36816
9-May-16,Mobile,882
9-May-16,Tablet,178
10-May-16,Desktop,39249
10-May-16,Mobile,981
10-May-16,Tablet,205
11-May-16,Desktop,39620
11-May-16,Mobile,1189
11-May-16,Tablet,248
12-May-16,Desktop,38660
12-May-16,Mobile,1053
12-May-16,Tablet,246
13-May-16,Desktop,32102
13-May-16,Mobile,919
13-May-16,Tablet,211
14-May-16,Desktop,8431
14-May-16,Mobile,647
14-May-16,Tablet,206
15-May-16,Desktop,9785
15-May-16,Mobile,636
15-May-16,Tablet,195
16-May-16,Desktop,32525
16-May-16,Mobile,817
16-May-16,Tablet,236
17-May-16,Desktop,38839
17-May-16,Mobile,947
17-May-16,Tablet,236
18-May-16,Desktop,38761
18-May-16,Mobile,1039
18-May-16,Tablet,245
